"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,1595498,354831,"BPS  Open Water",354830,"EVT  Open Water",354830
"2",31,9001,38,8,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",16
"3",31,9004,112720,25068,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",52402
"4",31,9006,244024,54270,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",305819
"5",31,9008,201075,44718,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",135250
"6",31,9009,895103,199066,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",629247
"7",31,9016,5,1,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",38
"8",31,9018,8443,1878,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",15825
"9",31,9023,135,30,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",47
"10",31,9024,17,4,"BPS  Barren-Rock/Sand/Clay",325043,"EVT  Sparsely Vegetated",6
"11",409,9004,10,2,"BPS  Sparse",176,"EVT  Sparsely Vegetated",52402
"12",409,9006,28,6,"BPS  Sparse",176,"EVT  Sparsely Vegetated",305819
"13",409,9008,295,66,"BPS  Sparse",176,"EVT  Sparsely Vegetated",135250
"14",409,9009,447,99,"BPS  Sparse",176,"EVT  Sparsely Vegetated",629247
"15",409,9018,12,3,"BPS  Sparse",176,"EVT  Sparsely Vegetated",15825
"16",410,7049,6,1,"BPS  Sparse",10386,"EVT  Conifer",553434
"17",410,7066,3,1,"BPS  Sparse",10386,"EVT  Shrubland",2058871
"18",410,7072,6,1,"BPS  Sparse",10386,"EVT  Shrubland",1287880
"19",410,7080,8,2,"BPS  Sparse",10386,"EVT  Shrubland",9875987
"20",410,7125,1,0,"BPS  Sparse",10386,"EVT  Shrubland",4919447
"21",410,7126,10,2,"BPS  Sparse",10386,"EVT  Shrubland",5563567
"22",410,7135,9,2,"BPS  Sparse",10386,"EVT  Grassland",523359
"23",410,7139,3,1,"BPS  Sparse",10386,"EVT  Grassland",202288
"24",410,7146,14,3,"BPS  Sparse",10386,"EVT  Grassland",138812
"25",410,7153,4,1,"BPS  Sparse",10386,"EVT  Shrubland",403369
"26",410,7166,2,0,"BPS  Sparse",10386,"EVT  Conifer",92378
"27",410,7295,17,4,"BPS  Sparse",10386,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",45988
"28",410,7297,5,1,"BPS  Sparse",10386,"EVT  Developed-Medium Intensity",15887
"29",410,7298,5,1,"BPS  Sparse",10386,"EVT  Developed-High Intensity",5270
"30",410,7299,8,2,"BPS  Sparse",10386,"EVT  Developed-Roads",205152
"31",410,7901,2,0,"BPS  Sparse",10386,"EVT  Developed",3186
"32",410,7903,7,2,"BPS  Sparse",10386,"EVT  Developed",26306
"33",410,7921,1,0,"BPS  Sparse",10386,"EVT  Developed",523
"34",410,7965,1,0,"BPS  Sparse",10386,"EVT  Agricultural",326866
"35",410,7966,7,2,"BPS  Sparse",10386,"EVT  Agricultural",87765
"36",410,7967,22,5,"BPS  Sparse",10386,"EVT  Agricultural",1072113
"37",410,7968,1,0,"BPS  Sparse",10386,"EVT  Agricultural",15285
"38",410,9004,6,1,"BPS  Sparse",10386,"EVT  Sparsely Vegetated",52402
"39",410,9006,21168,4708,"BPS  Sparse",10386,"EVT  Sparsely Vegetated",305819
"40",410,9008,84,19,"BPS  Sparse",10386,"EVT  Sparsely Vegetated",135250
"41",410,9009,6820,1517,"BPS  Sparse",10386,"EVT  Sparsely Vegetated",629247
"42",410,9011,5,1,"BPS  Sparse",10386,"EVT  Riparian",188337
"43",410,9016,20,4,"BPS  Sparse",10386,"EVT  Sparsely Vegetated",38
"44",410,9017,3,1,"BPS  Sparse",10386,"EVT  Riparian",26510
"45",410,9018,18389,4090,"BPS  Sparse",10386,"EVT  Sparsely Vegetated",15825
"46",410,9019,21,5,"BPS  Sparse",10386,"EVT  Riparian",111323
"47",410,9021,4,1,"BPS  Sparse",10386,"EVT  Riparian",24256
"48",410,9022,1,0,"BPS  Sparse",10386,"EVT  Riparian",15434
"49",410,9307,2,0,"BPS  Sparse",10386,"EVT  Exotic Herbaceous",110149
"50",410,9327,1,0,"BPS  Sparse",10386,"EVT  Riparian",21689
"51",410,9328,14,3,"BPS  Sparse",10386,"EVT  Exotic Tree-Shrub",53262
"52",410,9336,1,0,"BPS  Sparse",10386,"EVT  Exotic Tree-Shrub",258442
"53",410,9519,19,4,"BPS  Sparse",10386,"EVT  Riparian",237633
"54",411,9006,27,6,"BPS  Sparse",34,"EVT  Sparsely Vegetated",305819
"55",411,9009,1,0,"BPS  Sparse",34,"EVT  Sparsely Vegetated",629247
"56",411,9016,37,8,"BPS  Sparse",34,"EVT  Sparsely Vegetated",38
"57",411,9018,86,19,"BPS  Sparse",34,"EVT  Sparsely Vegetated",15825
"58",686,7011,52972,11781,"BPS  Hardwood",44099,"EVT  Hardwood",187099
"59",686,7049,683,152,"BPS  Hardwood",44099,"EVT  Conifer",553434
"60",686,7050,13812,3072,"BPS  Hardwood",44099,"EVT  Conifer",95313
"61",686,7051,623,139,"BPS  Hardwood",44099,"EVT  Conifer",7393
"62",686,7055,1902,423,"BPS  Hardwood",44099,"EVT  Conifer",15947
"63",686,7057,89,20,"BPS  Hardwood",44099,"EVT  Conifer",4598
"64",686,7061,798,177,"BPS  Hardwood",44099,"EVT  Conifer-Hardwood",7769
"65",686,7062,759,169,"BPS  Hardwood",44099,"EVT  Conifer",178687
"66",686,7066,5,1,"BPS  Hardwood",44099,"EVT  Shrubland",2058871
"67",686,7072,8240,1833,"BPS  Hardwood",44099,"EVT  Shrubland",1287880
"68",686,7080,1432,318,"BPS  Hardwood",44099,"EVT  Shrubland",9875987
"69",686,7081,2,0,"BPS  Hardwood",44099,"EVT  Shrubland",442924
"70",686,7086,3358,747,"BPS  Hardwood",44099,"EVT  Shrubland",63382
"71",686,7106,253,56,"BPS  Hardwood",44099,"EVT  Shrubland",5381
"72",686,7125,813,181,"BPS  Hardwood",44099,"EVT  Shrubland",4919447
"73",686,7126,79937,17778,"BPS  Hardwood",44099,"EVT  Shrubland",5563567
"74",686,7127,71,16,"BPS  Hardwood",44099,"EVT  Shrubland",539588
"75",686,7135,158,35,"BPS  Hardwood",44099,"EVT  Grassland",523359
"76",686,7139,9264,2060,"BPS  Hardwood",44099,"EVT  Grassland",202288
"77",686,7140,173,38,"BPS  Hardwood",44099,"EVT  Grassland",355
"78",686,7145,4216,938,"BPS  Hardwood",44099,"EVT  Grassland",60733
"79",686,7146,481,107,"BPS  Hardwood",44099,"EVT  Grassland",138812
"80",686,7153,52,12,"BPS  Hardwood",44099,"EVT  Shrubland",403369
"81",686,7166,7183,1597,"BPS  Hardwood",44099,"EVT  Conifer",92378
"82",686,7296,49,11,"BPS  Hardwood",44099,"EVT  Developed-Low Intensity",27846
"83",686,7297,8,2,"BPS  Hardwood",44099,"EVT  Developed-Medium Intensity",15887
