Past,EVT,ACRES
Past Conifer,Agricultural,9619
Past Conifer,Conifer,394323
Past Conifer,Conifer-Hardwood,3222
Past Conifer,Developed,6845
Past Conifer,Exotics,21796
Past Conifer,Grassland,38155
Past Conifer,Hardwood,42290
Past Conifer,Riparian,12941
Past Conifer,Shrubland,224843
Past Grassland,Agricultural,39100
Past Grassland,Conifer,25244
Past Grassland,Developed,12490
Past Grassland,Exotics,27207
Past Grassland,Grassland,57638
Past Grassland,Hardwood,1814
Past Grassland,Riparian,2366
Past Grassland,Shrubland,132225
Past Hardwood,Agricultural,18586
Past Hardwood,Conifer,34337
Past Hardwood,Conifer-Hardwood,1291
Past Hardwood,Developed,2637
Past Hardwood,Exotics,4467
Past Hardwood,Grassland,10079
Past Hardwood,Hardwood,44774
Past Hardwood,Riparian,6362
Past Hardwood,Shrubland,57305
Past Hardwood-Conifer,Agricultural,56
Past Hardwood-Conifer,Conifer,9519
Past Hardwood-Conifer,Conifer-Hardwood,305
Past Hardwood-Conifer,Developed,120
Past Hardwood-Conifer,Exotics,53
Past Hardwood-Conifer,Grassland,1349
Past Hardwood-Conifer,Hardwood,4154
Past Hardwood-Conifer,Riparian,411
Past Hardwood-Conifer,Shrubland,3376
Past Riparian,Agricultural,737090
Past Riparian,Conifer,57131
Past Riparian,Conifer-Hardwood,614
Past Riparian,Developed,61142
Past Riparian,Exotics,33929
Past Riparian,Grassland,34443
Past Riparian,Hardwood,14674
Past Riparian,Riparian,497452
Past Riparian,Shrubland,563112
Past Shrubland,Agricultural,835596
Past Shrubland,Conifer,767571
Past Shrubland,Conifer-Hardwood,2331
Past Shrubland,Developed,370704
Past Shrubland,Exotics,740103
Past Shrubland,Grassland,847017
Past Shrubland,Hardwood,79385
Past Shrubland,Riparian,189793
Past Shrubland,Shrubland,24215114
