"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_16_23_24_A","10110_16_23_24","A",49,"Rocky Mountain Aspen Forest and Woodland",965,1,19924,10110,16,45334,43
"2","10110_16_23_24_A","10110_16_23_24","A",49,"Rocky Mountain Aspen Forest and Woodland",1009,1,1889,10110,23,5822,32
"3","10110_16_23_24_B","10110_16_23_24","B",24,"Rocky Mountain Aspen Forest and Woodland",965,2,1073,10110,16,45334,2
"4","10110_16_23_24_B","10110_16_23_24","B",24,"Rocky Mountain Aspen Forest and Woodland",1009,2,18,10110,23,5822,0
"5","10110_16_23_24_C","10110_16_23_24","C",6,"Rocky Mountain Aspen Forest and Woodland",965,3,5980,10110,16,45334,13
"6","10110_16_23_24_C","10110_16_23_24","C",6,"Rocky Mountain Aspen Forest and Woodland",1009,3,99,10110,23,5822,1
"7","10110_16_23_24_D","10110_16_23_24","D",18,"Rocky Mountain Aspen Forest and Woodland",965,4,11319,10110,16,45334,24
"8","10110_16_23_24_D","10110_16_23_24","D",18,"Rocky Mountain Aspen Forest and Woodland",1009,4,693,10110,23,5822,11
"9","10110_16_23_24_E","10110_16_23_24","E",3,"Rocky Mountain Aspen Forest and Woodland",965,5,3277,10110,16,45334,7
"10","10110_16_23_24_E","10110_16_23_24","E",3,"Rocky Mountain Aspen Forest and Woodland",1009,5,9,10110,23,5822,0
"11","10110_16_23_24_Agriculture","10110_16_23_24","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",965,180,2128,10110,16,45334,4
"12","10110_16_23_24_Agriculture","10110_16_23_24","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1009,180,2608,10110,23,5822,44
"13","10110_16_23_24_Developed","10110_16_23_24","Developed",0,"Rocky Mountain Aspen Forest and Woodland",965,120,482,10110,16,45334,1
"14","10110_16_23_24_Developed","10110_16_23_24","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1009,120,143,10110,23,5822,2
"15","10110_16_23_24_Water","10110_16_23_24","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"16","10110_16_23_24_UN","10110_16_23_24","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"17","10110_16_23_24_UE","10110_16_23_24","UE",0,"Rocky Mountain Aspen Forest and Woodland",965,7,506,10110,16,45334,1
"18","10110_16_23_24_UE","10110_16_23_24","UE",0,"Rocky Mountain Aspen Forest and Woodland",1009,7,343,10110,23,5822,5
