"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",892,88946577,10802,22,"10802_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush","Shrubland",98,NA,NA,98,100,NA,NA,"IV-A",255,163,180,1,0.639215686,0.705882353,19781243,60.3
"2",898,10519982,11260,22,"11260_22","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",86,NA,NA,86,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,2339588,7.1
"3",889,7386484,10660,22,"10660_22","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",NA,NA,NA,NA,NA,NA,NA,NA,11,190,127,0.043137255,0.745098039,0.498039216,1642714,5
"4",891,7203456,10801,22,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,NA,NA,72,100,NA,NA,"IV-A",255,190,232,1,0.745098039,0.909803922,1602010,4.9
"5",905,6997779,11590,22,"11590_22","Rocky Mountain Montane Riparian Systems","Riparian",271,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,1556269,4.7
"6",704,3066375,11260,21,"11260_21","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,681945,2.1
"7",2713,3012345,10804,23,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,669929,2
"8",1265,1734596,11250,29,"11250_20_29_30_31_33","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",92,NA,NA,92,100,NA,NA,"IV-A",255,115,223,1,0.450980392,0.874509804,385765,1.2
"9",11,1595498,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,354830,1.1
"10",878,1559534,10010,22,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,346832,1.1
"11",1037,1562215,11261,23,"11261_16_23_24","Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,347428,1.1
"12",31,1461560,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,325043,1
"13",906,1456001,11620,22,"11620_22","Western Great Plains Floodplain Systems","Riparian",571,125,NA,103,18,82,NA,"III-B",102,153,205,0.4,0.6,0.803921569,323807,1
"14",1266,1350343,11260,29,"11260_20_29_33","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,300309,0.9
"15",881,1029583,10490,22,"10490_16_22","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",216,NA,NA,216,100,NA,NA,"V-A",102,205,171,0.4,0.803921569,0.670588235,228974,0.7
"16",893,1070861,10810,22,"10810_22","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",450,NA,NA,450,100,NA,NA,"V-A",245,202,122,0.960784314,0.792156863,0.478431373,238154,0.7
"17",1269,812832,11410,29,"11410_29_30","Northwestern Great Plains Mixedgrass Prairie","Grassland",13,NA,NA,13,100,NA,NA,"II-B",215,255,232,0.843137255,1,0.909803922,180769,0.6
"18",715,528038,11660,21,"11660_21","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",296,46,NA,40,14,86,NA,"III-A",214,112,0,0.839215686,0.439215686,0,117433,0.4
"19",879,544464,10110,22,"10110_22","Rocky Mountain Aspen Forest and Woodland","Hardwood",163,NA,NA,163,100,NA,NA,"IV-B",255,255,115,1,1,0.450980392,121086,0.4
"20",900,428527,11350,22,"11350_22","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,NA,NA,25,100,NA,NA,"II-C",185,174,211,0.725490196,0.682352941,0.82745098,95302,0.3
"21",1033,398525,11070,23,"11070_23_24","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",51,150,NA,38,74,26,NA,"III-A",115,255,223,0.450980392,1,0.874509804,88630,0.3
"22",690,256954,10490,21,"10490_19_20_21_23_28_29","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",385,NA,NA,385,100,NA,NA,"V-A",102,205,171,0.4,0.803921569,0.670588235,57145,0.2
"23",904,340560,11530,22,"11530_20_22_29_30","Inter-Mountain Basins Greasewood Flat","Shrubland",207,NA,NA,207,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,75739,0.2
"24",1253,305300,10540,29,"10540_29","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",303,265,20,18,6,7,87,"I-C",168,56,0,0.658823529,0.219607843,0,67897,0.2
"25",1259,347095,10660,29,"10660_29","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",440,NA,NA,440,100,NA,NA,"V-A",11,190,127,0.043137255,0.745098039,0.498039216,77192,0.2
"26",1277,224166,11660,29,"11660_29","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",210,109,24,18,9,17,74,"I-C",214,112,0,0.839215686,0.439215686,0,49853,0.2
"27",686,198290,10110,21,"10110_21","Rocky Mountain Aspen Forest and Woodland","Hardwood",110,NA,NA,110,100,NA,NA,"IV-B",255,255,115,1,1,0.450980392,44099,0.1
"28",693,167064,10550,21,"10550_21_22","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",333,NA,NA,333,100,NA,NA,"V-A",211,255,190,0.82745098,1,0.745098039,37154,0.1
"29",713,190038,11600,21,"11600_21","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",335,2775,NA,299,89,11,NA,"V-A",49,165,167,0.192156863,0.647058824,0.654901961,42263,0.1
"30",880,194945,10160,22,"10160_22","Colorado Plateau Pinyon-Juniper Woodland","Conifer",458,215,3310,140,31,65,4,"III-B",205,170,102,0.803921569,0.666666667,0.4,43355,0.1
"31",882,106559,10500,22,"10500_22","Rocky Mountain Lodgepole Pine Forest","Conifer",169,NA,NA,169,100,NA,NA,"IV-B",128,251,26,0.501960784,0.984313725,0.101960784,23698,0.1
"32",884,81441,10540,22,"10540_22","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",165,49,19,13,8,26,66,"I-B",168,56,0,0.658823529,0.219607843,0,18112,0.1
"33",894,107672,10861,22,"10861_22","Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany","Shrubland",89,NA,NA,89,100,NA,NA,"IV-A",137,68,101,0.537254902,0.266666667,0.396078431,23946,0.1
"34",899,140746,11270,22,"11270_22","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",448,NA,NA,448,100,NA,NA,"V-A",194,158,215,0.760784314,0.619607843,0.843137255,31301,0.1
