"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",965,10082,0,377.5164572
"2","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",1009,1295,0,48.490757
"3","All Fire","10110_20_29",0.0098114,"Rocky Mountain Aspen Forest and Woodland",1249,487,0,4.7781518
"4","All Fire","10110_21",0.0090334,"Rocky Mountain Aspen Forest and Woodland",686,44099,0.1,398.3639066
"5","All Fire","10110_22",0.0060602,"Rocky Mountain Aspen Forest and Woodland",879,121086,0.4,733.8053772
"6","All Fire","10110_28",0.0084652,"Rocky Mountain Aspen Forest and Woodland",1146,3209,0,27.1648268
"7","All Fire","10120_16_27",0.019869,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,22,0,0.437118
"8","All Fire","10120_17_18_21",0.0198082,"Rocky Mountain Bigtooth Maple Ravine Woodland",687,0,0,0
"9","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",1147,136,0,1.0962688
"10","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1010,35003,0.1,274.8575572
"11","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",967,384,0,3.0153216
"12","All Fire","10160_22",0.007225,"Colorado Plateau Pinyon-Juniper Woodland",880,43355,0.1,313.239875
"13","All Fire","10450_21",0.0257252,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",688,15,0,0.385878
"14","All Fire","10460_21",0.0051614,"Northern Rocky Mountain Subalpine Woodland and Parkland",689,7671,0,39.5930994
"15","All Fire","10480_29",0.0340978,"Northwestern Great Plains Highland White Spruce Woodland",1250,13,0,0.4432714
"16","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",881,228974,0.7,1097.014434
"17","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",690,57145,0.2,144.325412
"18","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1011,1139,0,2.8766584
"19","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1148,66,0,0.1666896
"20","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,5976,0,15.0929856
"21","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",970,1309,0,10.6097068
"22","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1012,3,0,0.0243156
"23","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1149,2215,0,17.953018
"24","All Fire","10500_22",0.005998,"Rocky Mountain Lodgepole Pine Forest",882,23698,0.1,142.140604
"25","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",883,3170,0,296.375346
"26","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",971,850,0,79.46973
"27","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1013,754,0,70.4943252
"28","All Fire","10510_28",0.0538472,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1150,1560,0,84.001632
"29","All Fire","10510_29",0.0961674,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,236,0,22.6955064
"30","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",972,159,0,4.8010686
"31","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1014,18,0,0.5435172
"32","All Fire","10520_28",0.0184546,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1151,215,0,3.967739
"33","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",973,307,0,18.0207772
"34","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1015,816,0,47.8988736
"35","All Fire","10540_22",0.0789302,"Southern Rocky Mountain Ponderosa Pine Woodland",884,18112,0.1,1429.5837824
"36","All Fire","10540_28",0.0496688,"Southern Rocky Mountain Ponderosa Pine Woodland",1152,3745,0,186.009656
"37","All Fire","10540_29",0.0568408,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,67897,0.2,3859.3197976
"38","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1153,1888,0,13.7763584
"39","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",974,670,0,3.228194
"40","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1016,7,0,0.0337274
"41","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",693,37154,0.1,111.7146472
"42","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",885,3229,0,9.7089572
"43","All Fire","10550_29",0.0087036,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,9228,0,80.3168208
"44","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1154,2,0,0.0145736
"45","All Fire","10560_16_23",0.0048518,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",975,1,0,0.0048518
"46","All Fire","10560_21_22",0.0034478,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",694,5277,0,18.1940406
"47","All Fire","10560_21_22",0.0034478,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",886,1197,0,4.1270166
"48","All Fire","10560_29",0.003841,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1255,1,0,0.003841
"49","All Fire","10570_12_16",0.0069324,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",976,61,0,0.4228764
"50","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1155,402,0,2.7349668
"51","All Fire","10610_20_29",0.018349,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,2819,0,51.725831
"52","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",887,7277,0,253.9367366
"53","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1157,4248,0,148.2373584
"54","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",977,2031,0,199.1992614
"55","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1019,229,0,22.4601826
"56","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",978,2815,0,86.545486
"57","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",1020,9,0,0.2766996
"58","All Fire","10620_10_19_21_29_31",0.014686,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1258,24955,0.1,366.48913
"59","All Fire","10620_10_19_21_29_31",0.014686,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",695,13,0,0.190918
"60","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",979,8,0,0.1239344
"61","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1021,74,0,1.1463932
"62","All Fire","10620_22_28",0.0171456,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",888,4599,0,78.8526144
"63","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",980,3,0,0.038211
"64","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1022,204,0,2.598348
"65","All Fire","10660_29",0.0023186,"Inter-Mountain Basins Mat Saltbush Shrubland",1259,77192,0.2,178.9773712
"66","All Fire","10700_10_19_28",0.0043774,"Rocky Mountain Alpine Dwarf-Shrubland",1160,112,0,0.4902688
"67","All Fire","10700_16",0.0043696,"Rocky Mountain Alpine Dwarf-Shrubland",981,1,0,0.0043696
"68","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",890,7404,0,22.515564
"69","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",1260,422,0,1.283302
"70","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1024,0,0,0
