OID_,VALUE,Freq,CLASSNAMES,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCENT
0,11,1594827,Open Water,0,0,255,0,0,1,354051.594,1.081790326
1,13,29938,Developed-Upland Deciduous Forest,64,61,168,0.25098,0.239216,0.658824,6646.236,0.020307305
2,14,14297,Developed-Upland Evergreen Forest,68,79,137,0.266667,0.309804,0.537255,3173.934,0.009697827
3,15,1930,Developed-Upland Mixed Forest,102,119,205,0.4,0.466667,0.803922,428.46,0.001309142
4,16,118203,Developed-Upland Herbaceous,122,142,245,0.478431,0.556863,0.960784,26241.066,0.080178516
5,17,534893,Developed-Upland Shrubland,158,170,215,0.619608,0.666667,0.843137,118746.246,0.362824352
6,22,125144,Developed - Low Intensity,255,122,143,1,0.478431,0.560784,27781.968,0.08488668
7,23,71421,Developed - Medium Intensity,253,44,79,0.992157,0.172549,0.309804,15855.462,0.048445723
8,24,23684,Developed - High Intensity,173,0,28,0.678431,0,0.109804,5257.848,0.016065142
9,25,921993,Developed-Roads,1,1,1,0.003921,0.003921,0.003921,204682.446,0.625398935
10,31,1461307,Barren,191,191,191,0.74902,0.74902,0.74902,324410.154,0.991222105
11,32,206768,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,0.901961,0.909804,0.980392,45902.496,0.14025322
12,61,1,NASS-Vineyard,168,0,132,0.658824,0,0.517647,0.222,6.78312E-07
13,63,273709,NASS-Row Crop-Close Grown Crop,255,245,140,1,0.960784,0.54902,60763.398,0.185660105
14,64,348868,NASS-Row Crop,250,255,119,0.980392,1,0.466667,77448.696,0.236641358
15,65,1468757,NASS-Close Grown Crop,255,237,119,1,0.929412,0.466667,326064.054,0.996275529
16,68,68668,NASS-Wheat,250,227,163,0.980392,0.890196,0.639216,15244.296,0.04657833
17,100,3657643,Sparse Vegetation Canopy,122,127,117,0.478431,0.498039,0.458824,811996.746,2.481023216
18,101,1285443,Tree Height = 1 meter,204,255,153,0.8,1,0.6,285368.346,0.871931439
19,102,831301,Tree Height = 2 meters,199,250,147,0.780392,0.980392,0.576471,184548.822,0.563881461
20,103,876488,Tree Height = 3 meters,192,245,142,0.752941,0.960784,0.556863,194580.336,0.594532347
