"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_Fuel_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7011,841293,"Rocky Mountain Aspen Forest and Woodland",7011,2011,"Tr Rocky Mountain Aspen Forest and Woodland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,187099,0.6
"2",7012,6,"Rocky Mountain Bigtooth Maple Ravine Woodland",7012,2012,"Tr Rocky Mountain Bigtooth Maple Ravine Woodland","Tree","Hardwood",605,"Bigtooth Maple Woodland","SRM 418: Bigtooth Maple","Tree-dominated","Open tree canopy","Deciduous open tree canopy",171,255,138,0.670588,1,0.541176,1,0
"3",7016,1148630,"Colorado Plateau Pinyon-Juniper Woodland",7016,2016,"Tr Colorado Plateau Pinyon-Juniper Woodland","Tree","Conifer",630,"Pinyon-Juniper Woodland","SRM 504: Juniper-Pinyon Pine Woodland","Tree-dominated","Open tree canopy","Evergreen open tree canopy",121,255,94,0.47451,1,0.368627,255449,0.8
"4",7020,104,"Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland",7020,2020,"Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland","Tree","Conifer",621,"Limber Pine Woodland","SAF 209: Bristlecone Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",63,255,46,0.247059,1,0.180392,23,0
"5",7046,7,"Northern Rocky Mountain Subalpine Woodland and Parkland",7046,2046,"Tr Northern Rocky Mountain Subalpine Woodland and Parkland","Tree","Conifer",640,"Subalpine Woodland and Parkland","SAF 208: Whitebark Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",191,255,233,0.74902,1,0.913725,2,0
"6",7049,2488524,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",7049,2049,"Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland","Tree","Conifer",621,"Limber Pine Woodland","SAF 219: Limber Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",174,245,224,0.682353,0.960784,0.878431,553434,1.7
"7",7050,428576,"Rocky Mountain Lodgepole Pine Forest",7050,2050,"Tr Rocky Mountain Lodgepole Pine Forest","Tree","Conifer",622,"Lodgepole Pine Forest and Woodland","SAF 218: Lodgepole Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",163,240,219,0.639216,0.941176,0.858824,95313,0.3
"8",7051,33241,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",7051,2051,"Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Tree","Conifer",625,"Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland","SAF 210: Interior Douglas-Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,51,0,0,0.2,0,7393,0
"9",7052,39,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",7052,2052,"Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Tree","Conifer",643,"Douglas-fir-Grand Fir-White Fir Forest and Woodland","SAF 211: White Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,204,0,0,0.8,0,9,0
"10",7054,381731,"Southern Rocky Mountain Ponderosa Pine Woodland",7054,2054,"Tr Southern Rocky Mountain Ponderosa Pine Woodland","Tree","Conifer",631,"Ponderosa Pine Forest, Woodland and Savanna","SAF 237: Interior Ponderosa Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",214,255,181,0.839216,1,0.709804,84895,0.3
