Model_Code,A,B,C,D,E,Agriculture,Developed,Water,UN,UE
10080_1_2_3_7,9,5,86,NA,NA,0,0,0,0,0
10090_19,21,68,11,NA,NA,0,0,0,0,0
10110_15,7,35,58,NA,NA,0,0,0,0,0
10110_16_23_24,49,24,6,18,3,0,0,0,0,0
10110_20_29,17,18,25,26,14,0,0,0,0,0
10110_21,9,24,25,27,15,0,0,0,0,0
10110_22,8,34,58,NA,NA,0,0,0,0,0
10110_27,7,35,58,NA,NA,0,0,0,0,0
10110_28,7,35,58,NA,NA,0,0,0,0,0
10110_6_10_12_17_18_19,14,40,45,1,NA,0,0,0,0,0
10110_7,27,18,18,24,13,0,0,0,0,0
10110_9,48,22,13,14,3,0,0,0,0,0
10120_16_27,8,18,74,NA,NA,0,0,0,0,0
10120_17_18_21,8,18,74,NA,NA,0,0,0,0,0
10130_31_38_39_40,18,17,35,30,NA,0,0,0,0,0
10140_4_5,7,47,46,NA,NA,0,0,0,0,0
10150_2_3_4,1,7,92,NA,NA,0,0,0,0,0
10160_13_14,2,7,27,64,NA,0,0,0,0,0
10160_15_28,10,21,25,34,10,0,0,0,0,0
10160_16_23_24_25,9,21,24,38,8,0,0,0,0,0
10160_17,9,21,24,38,8,0,0,0,0,0
10160_22,6,27,67,NA,NA,0,0,0,0,0
10170_6_7_8_9_12_18,2,7,18,43,30,0,0,0,0,0
10180_1_7,4,36,11,11,38,0,0,0,0,0
10190_13_14,2,7,27,64,NA,0,0,0,0,0
10190_15,2,7,27,64,NA,0,0,0,0,0
10190_4,1,5,32,25,37,0,0,0,0,0
10190_6_7_9_12_16_17_18_19,9,12,22,57,NA,0,0,0,0,0
10200_13,14,16,70,NA,NA,0,0,0,0,0
10200_6_9_12_17,19,21,60,NA,NA,0,0,0,0,0
10210_2_3_6_7,19,1,24,53,3,0,0,0,0,0
10220_2_3_6_7,18,2,23,54,3,0,0,0,0,0
10230_14_15_24_25,21,37,25,17,NA,0,0,0,0,0
10240_14_15_24,21,37,25,17,NA,0,0,0,0,0
10240_25_27,7,7,34,52,NA,0,0,0,0,0
10240_26,29,6,65,NA,NA,0,0,0,0,0
10250_14_15_24_25_26,5,57,38,NA,NA,0,0,0,0,0
10260_15,13,8,14,64,1,0,0,0,0,0
10270_2_3_7,11,4,8,63,14,0,0,0,0,0
10270_4_5_6,21,8,26,41,4,0,0,0,0,0
10280_2_3,16,14,18,35,17,0,0,0,0,0
10280_4_6_7_12,19,14,21,27,19,0,0,0,0,0
10290_2_3_4_5_6_7_12,11,4,21,54,10,0,0,0,0,0
10300_2_3_4_5_6_7,12,30,58,NA,NA,0,0,0,0,0
10310_2_3_4_5_6_12,17,6,31,1,45,0,0,0,0,0
10310_7,6,15,17,61,1,0,0,0,0,0
10320_2_3_7,13,19,22,26,20,0,0,0,0,0
10321_6,17,19,17,26,21,0,0,0,0,0
10322_6,8,10,20,45,17,0,0,0,0,0
10330_12,25,22,53,NA,NA,0,0,0,0,0
10330_3_6_7,40,11,49,NA,NA,0,0,0,0,0
10340_4_6_7,23,23,54,NA,NA,0,0,0,0,0
10350_1_2_7,6,10,9,44,31,0,0,0,0,0
10360_1_2,5,9,2,11,73,0,0,0,0,0
10370_1_2_7,6,17,6,16,55,0,0,0,0,0
10380_1_7,94,6,NA,NA,NA,0,0,0,0,0
10390_1_2_3_7,5,14,5,5,71,0,0,0,0,0
10411_1_7,1,5,4,4,86,0,0,0,0,0
10412_1_7,16,19,21,11,33,0,0,0,0,0
10420_1_7,2,11,1,4,82,0,0,0,0,0
10430_5,9,28,63,NA,NA,0,0,0,0,0
10431_2_3_6_7,17,17,19,27,20,0,0,0,0,0
10432_2_3,12,16,15,30,27,0,0,0,0,0
10440_3_6_7,3,8,13,29,47,0,0,0,0,0
10450_1_7_8_9,9,11,39,32,9,0,0,0,0,0
10450_21,31,22,29,13,5,0,0,0,0,0
10451_10_19,16,14,38,27,5,0,0,0,0,0
10451_20,15,12,35,30,8,0,0,0,0,0
10452_10_19,9,14,24,29,24,0,0,0,0,0
10453_10_19,14,17,32,17,20,0,0,0,0,0
10454_20,14,47,17,6,16,0,0,0,0,0
10460_1_7_9,25,22,53,NA,NA,0,0,0,0,0
10460_10_19_20,30,31,12,5,22,0,0,0,0,0
10460_18,20,28,43,9,NA,0,0,0,0,0
10460_21,21,35,12,5,27,0,0,0,0,0
10470_10_19,12,35,6,9,38,0,0,0,0,0
10470_8_9,13,41,12,11,23,0,0,0,0,0
10472_10_19,7,41,7,4,41,0,0,0,0,0
10480_29,9,8,22,30,31,0,0,0,0,0
10490_16_22,33,27,40,NA,NA,0,0,0,0,0
10490_19_20_21_23_28_29,21,31,48,NA,NA,0,0,0,0,0
10500_16_23_28,19,50,31,NA,NA,0,0,0,0,0
10500_18,19,50,31,NA,NA,0,0,0,0,0
10500_22,15,40,45,NA,NA,0,0,0,0,0
10510_15_16_17_22_23_24_25,23,7,12,57,1,0,0,0,0,0
10510_18_21,23,7,12,57,1,0,0,0,0,0
10510_27,14,8,14,61,3,0,0,0,0,0
10510_28,6,3,27,36,28,0,0,0,0,0
10510_29,22,6,12,59,1,0,0,0,0,0
10510_6,22,7,12,58,1,0,0,0,0,0
10520_12,14,28,29,18,11,0,0,0,0,0
10520_13,12,29,15,33,11,0,0,0,0,0
10520_15,14,28,29,18,11,0,0,0,0,0
10520_16_23_24,16,28,28,17,11,0,0,0,0,0
10520_17,14,28,28,18,12,0,0,0,0,0
10520_18,14,28,29,18,11,0,0,0,0,0
10520_21,14,28,29,18,11,0,0,0,0,0
10520_25,14,28,28,18,12,0,0,0,0,0
10520_27,11,25,29,24,11,0,0,0,0,0
10520_28,8,38,25,14,15,0,0,0,0,0
10530_10_19,6,6,20,57,11,0,0,0,0,0
10531_1_7_8_9,13,9,25,47,6,0,0,0,0,0
10532_7_9,15,9,27,46,3,0,0,0,0,0
10540_13_14,13,10,18,58,1,0,0,0,0,0
10540_15_25,10,1,13,74,2,0,0,0,0,0
10540_16_23_24,12,5,10,68,5,0,0,0,0,0
10540_17,13,9,18,58,2,0,0,0,0,0
10540_20,9,2,18,67,4,0,0,0,0,0
10540_22,11,8,24,48,9,0,0,0,0,0
10540_26,10,2,5,74,9,0,0,0,0,0
10540_28,10,15,22,35,18,0,0,0,0,0
10540_29,6,19,13,53,9,0,0,0,0,0
10540_33,10,9,23,40,18,0,0,0,0,0
10541_27,11,3,10,73,3,0,0,0,0,0
10542_27,10,9,23,40,18,0,0,0,0,0
10550_1_8_9,7,17,40,24,12,0,0,0,0,0
10550_10_19,16,44,15,5,20,0,0,0,0,0
10550_15_28,14,19,18,17,32,0,0,0,0,0
10550_16_23_24,22,28,14,36,NA,0,0,0,0,0
10550_17,33,24,7,36,NA,0,0,0,0,0
10550_18,32,24,11,33,NA,0,0,0,0,0
10550_20,13,38,20,29,NA,0,0,0,0,0
10550_21_22,7,33,48,12,NA,0,0,0,0,0
10550_27,13,19,18,17,33,0,0,0,0,0
10550_29,17,34,8,10,31,0,0,0,0,0
10560_1_7_8_9,20,12,38,23,7,0,0,0,0,0
10560_10_19,16,26,20,38,NA,0,0,0,0,0
10560_15_28,13,19,18,17,33,0,0,0,0,0
10560_16_23,22,28,14,36,NA,0,0,0,0,0
10560_18,32,24,11,33,NA,0,0,0,0,0
10560_20,16,30,5,15,34,0,0,0,0,0
10560_21_22,9,19,7,42,23,0,0,0,0,0
10560_29,8,17,3,25,47,0,0,0,0,0
10570_12_16,18,21,61,NA,NA,0,0,0,0,0
10570_18,18,21,61,NA,NA,0,0,0,0,0
10570_23,18,21,61,NA,NA,0,0,0,0,0
10570_28,19,35,46,NA,NA,0,0,0,0,0
10570_29,18,28,54,NA,NA,0,0,0,0,0
10580_12,6,28,6,5,55,0,0,0,0,0
10580_4,8,10,12,62,8,0,0,0,0,0
10580_7,15,47,38,NA,NA,0,0,0,0,0
10581_6,6,28,6,5,55,0,0,0,0,0
10582_6,8,12,16,57,7,0,0,0,0,0
10590_24_28,10,4,19,67,NA,0,0,0,0,0
10590_25,10,18,30,33,9,0,0,0,0,0
10590_26,23,34,1,42,NA,0,0,0,0,0
10590_27_33,12,22,44,22,NA,0,0,0,0,0
10600_1_2_7,10,7,8,66,9,0,0,0,0,0
10610_13,26,51,13,8,2,0,0,0,0,0
10610_15_25,58,21,6,14,1,0,0,0,0,0
10610_18,12,34,27,25,2,0,0,0,0,0
10610_20_29,9,44,34,13,NA,0,0,0,0,0
10610_22_27_28,23,43,7,27,NA,0,0,0,0,0
10610_6,12,59,26,3,NA,0,0,0,0,0
10610_8_9_17,14,38,36,11,1,0,0,0,0,0
10611_16_23_24,58,21,6,14,1,0,0,0,0,0
10612_16_23,13,39,44,4,NA,0,0,0,0,0
10620_10_19_21_29_31,8,14,12,21,45,0,0,0,0,0
10620_13,8,14,12,22,44,0,0,0,0,0
10620_16_23,9,14,15,22,40,0,0,0,0,0
10620_22_28,4,19,13,64,NA,0,0,0,0,0
10620_6_12_17_18,8,14,12,21,45,0,0,0,0,0
10620_7_9,4,12,14,41,29,0,0,0,0,0
10630_1,22,78,NA,NA,NA,0,0,0,0,0
10630_2_7,39,61,NA,NA,NA,0,0,0,0,0
10640_15_16_17_23_24_27_28,9,70,21,NA,NA,0,0,0,0,0
